,CAF-62T_TPM,CAF-97T_TPM,CAF_73T_TPM,CAF_98T_TPM
450,0,0.215118,0.195662,0.087149
451,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
459,0,0,0,0
460,0,0,0.062063,0.148219
462,0,0,0.429407,0.088644
463,5.728829,14.389503,9.232956,11.361174
466,29.239623,21.796611,26.736153,18.100753
467,11.541719,25.942945,27.373419,12.180174
468,604.031672,363.76754,814.521606,671.963819
469,0.141121,0.208125,0.239443,0.138938
471,86.295341,76.706224,63.968675,87.3059
472,26.114567,16.791836,17.760003,26.528348
473,19.850502,66.421245,48.492166,60.266202
474,0,0,0,0
475,202.84053,185.407303,245.391266,222.654343
476,103.154101,241.796292,307.881228,237.741488
477,1.519908,0.096126,0.086932,0.071376
478,0.144957,0.353156,0.408548,0.315874
479,0,0,0,0
480,0.066367,0,0,0
481,31.965601,122.457779,81.033951,28.990156
482,0.096811,3.280794,0.057285,0.048419
483,202.246674,295.286621,422.021576,258.46109
484,0.094082,0.025705,0.046058,0.066945
485,0,0.130881,0.09998,0.080047
486,0,0.367668,0,0
487,0.372172,0.737577,0.645918,0.439842
488,33.692243,112.466357,84.799609,78.038319
489,0.19978,0.497691,0.719323,0.83047
490,55.688955,27.164712,77.406744,77.237874
491,0,0.01736,0.006943,0
492,0.018741,0.140797,0.103249,0.010194
493,91.610198,310.61813,100.479206,141.189244
495,0,0,0,0
496,0,0,0,0
498,313.343812,406.276551,352.333589,421.524791
501,29.938704,26.045012,16.081553,26.841931
504,0,0,0,0
506,416.542175,637.613159,651.859497,637.519165
507,0,0,0,0
509,267.745892,268.598984,248.35306,282.23539
513,46.314505,86.856274,101.584397,87.889503
514,101.26622,71.126663,79.241585,83.164711
515,102.72747,99.433395,82.761803,108.271156
516,96.707757,95.457614,94.496674,117.029588
517,406.857321,356.436508,344.684721,386.723276
518,61.662489,79.459438,68.606978,75.119554
520,0,0,0,0.048
521,331.199946,265.959851,173.030476,227.851186
522,119.667763,131.783286,105.117437,135.038312
523,82.284332,59.698158,77.023712,70.448997
525,1.710511,1.241867,0.999723,1.052723
526,104.140922,80.22442,122.453967,132.669746
527,90.854048,277.155541,299.248465,248.471931
528,56.894489,30.540913,40.527729,36.942341
529,378.373608,331.011326,378.46426,376.449392
533,78.531816,155.954273,229.677264,165.053108
534,21.673548,5.965638,2.683467,1.536453
535,13.159031,36.188289,26.474833,29.82452
537,42.543422,152.348041,172.230683,148.012326
538,11.091968,9.590838,8.447597,9.901654
539,285.216461,271.892822,204.557037,248.738129
540,0.485245,4.667336,2.672728,2.819282
541,0.027143,0.105639,0.03395,0.017747
543,0,0,0,0
544,0.119597,0,0,0
545,11.767569,10.416079,9.5608,14.831462
546,40.597716,27.623775,25.615057,38.385558
547,0.017567,0.017502,0.104154,0.230039
549,20.557964,16.237416,11.202108,13.700802
550,85.859794,112.717712,142.003707,127.76368
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0.012875
554,0,0,0,0
558,90.889643,360.173311,153.21892,180.295036
563,0.068469,0,0,0.054791
566,0,0,0,0
567,11778.00007,5457.963619,8052.493516,4854.561873
570,0.080199,0.142949,0.334706,0.073017
571,75.008613,45.491494,42.547854,61.35822
572,80.830345,124.674139,116.290472,98.091978
573,30.293176,27.511701,34.737772,28.264433
575,0,0.031429,0.063267,0.102063
576,2.570988,7.064673,5.932797,5.654656
577,0,0,0,0
578,8.931291,25.042084,26.505893,24.878806
579,0.093741,0.167364,0.899099,0.157828
580,2.677699,2.236854,1.073156,4.105735
581,130.627473,282.125731,198.856333,269.818249
582,10.540792,18.019402,13.717403,14.300391
583,45.865731,44.075327,44.218117,32.845783
585,25.169635,18.98426,15.167007,19.161473
586,92.515064,40.850977,31.121374,56.978573
587,15.60149,31.407388,22.911247,27.841352
590,3.269827,0,26.737947,2.58833
593,11.769938,31.748316,22.154586,22.948614
594,12.341884,15.274988,7.648658,10.491791
595,330.439819,258.515869,834.69281,706.446228
596,1.116678,0.06445,0.192763,0.252358
597,2.569759,0.22037,9.702738,0.915627
598,85.903951,130.580243,121.019074,131.700209
599,35.689985,48.37064,57.835209,66.628437
600,1.136019,1.294691,1.971708,0.905004
601,0,0,0,0
602,13.138125,24.427082,35.676372,30.400638
604,26.525204,42.688981,65.148728,31.070945
605,4.288734,6.150016,4.132963,4.250442
606,0,0,5.03503,1.237793
607,2.886866,7.645007,3.771203,5.727603
608,0,0.180831,0,0
610,1.148868,2.822989,1.463318,1.637364
611,0.164169,0.086207,0,0
613,4.269688,14.079017,14.506941,14.308332
617,16.21423,16.724126,12.644528,20.115226
618,66.716301,23.945004,8.994348,12.063187
619,34.461468,14.483062,5.147045,6.671525
622,2.230243,2.401668,1.867473,2.430198
623,48.025242,67.293823,55.364361,28.05361
624,6.73529,6.340406,2.736307,2.959966
627,12.384347,22.386833,82.605509,30.51389
629,119.931122,46.418274,235.193649,192.275925
631,8.878567,10.413508,5.391508,6.9365
632,0.311828,0.355937,0.079703,0.123029
633,123.776587,894.729501,556.156456,571.733631
634,0.086001,0.05872,0.652275,0.017067
635,0.051294,0.497387,0.426214,0
636,4.836375,7.659899,6.534124,6.975454
637,17.795567,13.554495,34.614321,33.186181
638,0,0,0.067084,0
639,1.065173,1.480355,1.314441,0.80291
640,0,0,0,0
641,1.009384,0.948976,0.661748,3.475802
642,29.272947,36.537731,30.657244,44.511578
643,0,0.02524,0.000011,0.002724
644,117.668567,70.63693,59.66765,68.878282
645,87.677612,119.324287,74.610359,100.556107
646,1.188379,0.153352,6.928563,1.28235
648,50.658005,29.625267,33.343037,26.123728
649,37.91465,98.308023,131.159325,135.200932
650,4.809422,0.237938,21.478083,11.162767
651,0.09253,0,0.03139,0.015946
652,25.687034,10.319592,33.855693,36.392423
653,0,0,0,0
654,0.249996,0.123344,4.091796,0.653081
655,0,0,0,0
656,0.030243,0.139306,0.037988,0.119005
657,25.518778,21.112941,17.38525,20.288864
658,0,0.067035,0.69736,0.334507
659,18.258588,25.039007,18.720712,28.474482
660,0,0,0.050174,0
661,11.379561,17.170345,19.311637,24.05358
662,14.889749,15.775913,13.412978,15.48731
663,42.595609,31.078889,35.839422,34.860791
664,119.651535,122.89521,143.717575,85.676895
665,209.762894,134.854953,145.345282,140.094476
666,21.931173,50.558508,50.259399,59.134547
667,89.051418,80.916152,72.193275,87.030803
668,0.329008,0.638185,0.745882,0.287467
669,61.749732,78.188754,71.681985,55.150995
670,9.166941,7.23092,5.95018,11.411762
671,0,0.272736,0,0
672,5.186812,3.550216,2.162828,10.345062
673,8.305451,8.336629,8.213038,8.83813
675,2.672123,2.184787,2.191099,4.39084
676,0,0,0,0
677,199.753162,209.338824,199.684409,112.878187
678,34.924,38.249653,37.296993,23.941202
680,0,0,0,0
682,272.655535,868.744033,749.299773,704.475171
683,126.806953,196.550685,152.72976,126.685208
684,804.025574,464.582153,1109.865112,759.723145
685,0.760022,0.030366,0.344752,0.632581
686,13.122301,12.099622,12.998172,11.756582
687,11.121392,40.533958,28.924866,21.360518
688,2.773809,2.503991,18.226693,4.671121
689,656.547829,572.210395,538.57296,610.797668
690,0,0,0,0
693,0,0,0,0
694,42.513382,45.936466,48.899967,37.347496
695,0.029223,0,0,0.063095
696,0,0.027355,0,0
699,6.163765,15.421363,5.453841,26.392921
701,5.374553,12.528729,4.093016,21.239016
705,8.974247,17.977741,18.58049,20.655487
706,197.674958,241.294844,343.803168,296.910853
708,76.547028,103.9095,125.771385,129.093903
710,259.470802,342.706528,210.589485,256.385842
711,0,0,0,0
712,0,0,0,1.60998
713,0,0,0,2.512504
714,0,0,0,2.207128
715,486.289567,361.091018,390.80387,550.085098
716,783.551049,351.918316,677.652824,747.352262
717,80.46046,19.532123,36.344474,26.458654
718,4.803854,0.991165,24.716444,59.964439
719,2.713173,1.164684,1.877875,1.136169
720,6.246332,7.925507,2.349607,3.178433
721,5.388389,7.060207,1.984232,2.723406
722,0,0,0,0
725,0,0,0,0.06541
726,21.472612,38.144707,28.655545,34.464342
727,4.125989,2.927757,1.263246,2.089582
728,7.637204,6.372102,4.765654,4.688338
