,CAF-62T-IgA_TPM,CAF-97T-IgA_TPM,CAF_73T_IgA_TPM,CAF_98T_IgA_TPM
729652,0.124786,0.17346,0.065428,0.066666
729654,0,0,0,0
729658,0,0,0,0
729662,0,0,0,0
729665,0,0,0,0
729666,0.08455,0.058252,0.406202,0.104869
729667,0,0,0,0
729668,0.301519,0.052585,0,0.062232
729673,5.835898,5.175354,4.717234,3.862432
729674,0.263019,0.23056,0.201603,0.109952
729677,0,0.048624,0.003153,0.042023
729678,16.83118,12.425987,14.816979,10.348484
729679,0,0,0,0.025994
729681,0,0.435379,0,0
729682,0,0,0,0
729683,0.448902,1.372695,1.684945,0.854062
729687,0,0,0,0
729689,0,0,0,0
729707,0,0,0,0
729708,3.60979,3.05425,2.001583,1.795932
729723,0.071856,0.08718,0,0.046849
729727,0.308268,0.258355,0.151203,0.162729
729732,0,0.04355,0.004736,0.095711
729737,1.087393,1.708744,0.880794,1.330348
729739,0.967644,0.029321,0,0.023215
729747,0,0.185136,0,0.077804
729756,0,0,0,0
729759,0.023001,0.018364,0,0.043652
729760,0,0,0,0
729764,1.187935,0.373349,0.619696,0.443863
729767,0,0,0,0
729769,0,0.089742,0,0.010398
729774,0,0,0,0
729779,0,0,0.026091,0
729780,0,0,0.126791,0
729786,0,0,0,0
729789,0,0.030453,0.075736,0
729790,0,0,0,0
729798,0.039785,0.078394,0,0.049589
729799,1.060068,1.059166,0.686071,0.783959
729806,32.067883,15.543536,25.78953,44.976921
729809,0,0,0,0
729815,0,0,0,0
729816,0,0,0,0
729817,0,0,0,0
729828,0.0415,0.004393,0,0.047632
729830,0.04731,0.143897,0.227187,0.057204
729835,0.184054,0.031741,0,0.089352
729838,0,0,0,0.296551
729839,8.748725,3.210267,4.841203,4.926764
729842,0.312796,0.126841,0,0.289476
729852,21.257014,8.608615,10.539468,13.313829
729857,0.588194,0.329339,0.817022,0.712654
729859,0.435901,0.098834,0.132584,0.451427
729862,0,0,0,0
729867,0,0.385932,0,0.257488
729870,0,0,0,0
729873,4.830615,4.004591,1.438749,3.303906
729877,3.096398,3.356425,1.716123,2.403417
729885,1.072906,0.261291,0.534106,0.547193
729894,0,0,0,0
729898,0,0.340023,0.252002,0
729900,0,0,0.266838,0.285726
729903,0.225836,0.071675,0.02399,0.059322
729909,0.02949,0.045037,0.011288,0.162765
729911,0,0,0,0
729920,1.029976,0.664733,0.814455,1.43334
729927,1.972985,3.811353,8.715375,3.343029
729930,0,0,0,0
729941,0,0,0,0
729944,0,0,0,0
729945,0,0.029993,0,0
729948,14.63726,12.240122,7.67461,10.97494
729950,0,0,0,0.055
729955,0.058418,0,0,0
729956,0,0,0,0
729960,0,0,0,0
729962,0,0,0,0.002591
729966,0,0,0,0
729967,38.034393,35.562733,28.448441,39.467888
729968,0,0.062465,0,1.44361
729970,17.78812,8.032589,11.792539,13.734557
729973,0.209617,0.107941,0,0.174856
729974,0.029967,0,0,0
729975,0.211162,0.122558,0.093105,0.067439
729978,8.774572,3.818939,7.887945,6.696387
729987,0.044581,0,0,0
729991,14.004351,30.98801,24.306066,23.092838
729992,0.05373,0.005228,0,0.004757
729993,0,0,0,0
729998,45.901295,49.043808,42.264904,55.43924
729999,0.116485,0.02492,0.022972,0
730005,0,0,0,0.197921
730010,3.247197,1.051194,0.212364,4.01896
730013,0.119121,0.303954,0,0.312868
730016,0,0,0,0
730021,0,0,0,0
730023,0.111741,0,0,0
730029,7.194223,55.581314,9.505147,55.836967
730041,0.717853,0.579764,0.701556,0.69462
730043,0,0.043714,0,0
730051,1.496211,1.557388,1.681273,1.502234
730052,0.782743,0.160283,0.055384,0.383025
730061,0,0,0,0
730066,0.306453,0.539258,0.138021,0.065086
730069,1.291463,1.194683,0.971858,1.938114
730070,0,0,0,0
730086,0.236159,0.243365,0,0.213578
730087,2.273594,0.933665,0.840875,1.347857
730091,2.367354,1.866919,1.790509,1.207384
730092,4.758812,2.851515,4.110008,4.418862
730094,7.752907,5.686398,7.317583,7.956732
730098,1.811245,2.283954,3.35488,2.799105
730100,0,0,0,0
730101,25.112516,11.485671,7.540125,7.661397
730102,15.931668,11.063947,7.099718,11.669398
730109,0,0,0,0
730110,0.003185,0,0,0.011276
730112,0,0.102891,0,0
730129,0,0,0,0
730130,0,0,0,0
730138,0.372362,0.74188,0.42246,0.876598
730144,0,0,0.009663,0.037032
730152,0,0,0,0
730153,1.712305,1.866114,1.036407,1.513089
730159,0,0,0,0
730177,0,0,0,0
730180,0,0,0,0
730183,1.674055,2.619386,1.865834,2.004372
730187,0,0,0,0
730190,0.112039,0,0.034959,0.112129
730198,0.320746,0.725481,0.368332,0.28176
730202,0.472538,0.624802,0.808463,0.649175
730211,0,0,0,0.003361
730213,0.027813,0.001848,0,0
730227,0,0,0,0.053835
730232,0,0,0,0
730234,2.103203,0.413879,0.759314,0.42345
730239,0.020824,0.03551,0.038261,0.038243
730246,0.031368,0.001249,0,0.002852
730249,0,0,0,0
730255,0,0,0,0
730257,1.149115,1.71861,1.578073,2.83392
730262,0,0,0.030398,0
730268,15.58324,16.791389,14.736901,26.187397
730291,0,0,0,0
730338,0.066519,0,0,0
730647,0,0,0,0
730668,0.045007,0.166946,0.009062,0.03834
730747,0.25196,0.180502,0.008956,0.403982
730755,0,3.125409,8.123798,0.458741
730792,0,0,0,0
730811,0,0,0,0
730861,0.001681,0.008696,0,0
730888,0,0.00925,0,0.038129
730971,0.327702,0.102351,0,0
730974,0,0,0,0
730993,0,0,0,0
731075,0.026764,0.161661,0,0
731157,0,0,0,0
731220,3.386198,1.24112,4.912777,2.405441
731223,0.335987,0.478102,0,0
731275,1.261077,1.041772,0.802388,0.83777
731308,0.060694,0.040728,0,0.066518
731424,0,0,0,0
731605,11.473772,7.728047,10.2122,10.253369
731631,0.002943,0,0,0
731642,0,0.019136,0,0.015146
731656,0.083049,2.828801,0.884289,0.520417
731688,0.12491,0.299842,0,0.623079
731741,0,0,0,0
731755,0.125119,0,0,0
731779,0,0,0,0
731789,0,0,0,0
732199,0,0,0,0
732229,7.203377,7.710981,8.259846,5.951224
732253,0,0,0,0
732265,0,0,0,0
732275,0,0,0,0
732448,0.569105,0.057988,0,0
732538,0,0,0,0
735301,6.769066,9.893498,23.369215,11.948868
751071,4.127899,3.336886,2.262548,3.684802
751580,2.746786,1.106444,0.615182,1.944931
751599,0.036227,0,0,0.116169
751602,0,0,0,0
751603,0.030385,0,0,0.015181
751837,0,0,0,0
752014,0.02311,0,0,0.022644
767557,14.747731,4.775444,3.326503,3.037675
767558,15.690042,18.885559,17.305902,20.130465
767561,0,0,0.096026,0.8396
767562,0,0,0,1.085898
767563,0.680177,0,1.735675,2.736997
767564,0.276862,0,0.524825,1.554273
767565,0,0,0,0
767566,0,0,0,0
767567,0,0,0,0
767568,0,0,0,0.047613
767569,0,0,0,0
767577,0.304019,0.741983,0,0.614155
767578,0,0,0,0
767579,0.28675,0,0,0
767580,0,0,0,0
767581,0,0,0,0
767582,0,0,0,0.195818
767583,0,0,0,0.461495
767584,0,0,0,0.729866
767585,0,0,0,0
767588,0.839916,0,1.38854,1.789061
767589,0,0,1.236366,0.170799
767590,0,0,0,0
767591,0,0,0,0
767592,0,0,0,0.00427
767593,0,0,0,0
767594,0,0,0,0
767595,0,0,0,0.204959
767596,0,0,1.493732,0
767597,0,0,0,0
767598,0,0.056211,0,0
767599,0,0,0,0
767600,0,0,0,0
767603,0.128822,0,0,0.605255
767604,0,0,0,0
767605,0,0,0,0
767606,0.510133,0,0,0.658659
767608,0,0,0,0
767609,0,0,0,0
767610,0,0,0,0.315978
767611,0,0,0,0
767612,0,0,0,0.853996
767811,0.852846,1.996434,0.783294,1.454502
767846,0.198911,0.206954,0.079546,0.121352
767850,0,0,0,0
767851,0,0,0,0
767853,0,0,0,0
768086,0,0,0,0
768096,0.804551,0.203901,0.417279,0.173098
768097,1.259044,0.095329,0.902671,0.109273
768206,0.387242,0.521432,0.267705,0.592111
768211,8.50224,8.221033,7.100699,8.277635
768212,0,0,0,0
768213,0.009024,0.012254,0.009237,0.009666
768214,0,0,0,0
768215,0,0,0,0
768216,0,0,0,0.247355
768217,0,0,1.097364,0
768218,0,0,0,0
768219,0,0,0,0
768220,0,0,0,0.193922
768222,0.002207,0,0.004962,0.001249
768239,0,0,0,0
777650,0,0,0,0
777774,0,0,0,0
780529,0,0,0,0
780776,0,0.016678,0.023306,0
780778,0,0.022058,0,0.004446
780779,0,0.022092,0.026315,0.018291
780780,0,0.041017,0,0.004459
780810,0.053874,0,0,0
780811,0,0,0,0
780812,0,0,0,0
780813,0,0,0,0
780814,0.006165,0.024574,0.050428,0.00353
780815,0,0,0,0
780816,0,0,0,0
780851,0.228541,4.603737,0,0.433601
780852,0.031097,0.229312,0,0.07313
780853,0.059009,0.238722,0,0.075718
780854,0.036623,0.340703,0,0.074424
790951,0,0,0,0
790952,0,0,0,0
790953,0,0,0,0
790955,8.905883,11.862241,9.353687,10.993346
790966,0,0,0,0
791091,0,0,0,0
791092,0,0,0,0
791093,0,0,0,0
791096,0.036464,0,0.027871,0
791097,0,0,0,0
791098,0,0,0,0
791114,0,0,0,0
791115,0,0,0,0
791126,0,0,0,0
791226,0,0,0,0
791227,0,0,0,0
791230,0,0,0,0
791231,0,0,0,0
791232,0,0,0,0
100008586,0,0,0,0
100009601,0,0,0,0
100009602,0,0,0,0
100009605,0,0,0,0
100009606,0,0,0,0
100009607,0,0,0,0
100009613,0,0,0,0
100009667,0.182753,0.184856,0.130323,0
100009676,1.325113,1.902692,2.687183,1.903595
100033411,0,0,0,0
100033413,0.701533,0.20572,0.358034,0
100033414,0,2.192977,0,0.309463
100033415,0.271561,0.555445,0,0
100033416,0.0003,0.001168,0.001484,0.001214
100033417,0.094292,0,0,0
100033418,0.623444,0.028507,0,1.302605
100033419,0,0,0,0
100033420,0,0.452585,1.278142,0
100033421,0,0.320924,0,0.179163
100033422,0,0,0,0
100033423,0,0,0,0
100033424,0.365853,0.331166,0.476723,0
100033425,0.15179,0,0,0
100033426,0.537103,0.024819,0,1.058864
100033427,0.268552,0.024819,0,0
100033428,0,0.024819,0,0
100033429,0,0.024869,0,0.2891
100033430,0.01946,0.220165,0,0.231942
100033431,4.036059,2.43647,4.131599,3.499294
100033432,6.659303,2.195034,3.77803,5.257344
100033433,1.202644,0.560434,0,2.460598
100033434,0,0,0.969337,0.299171
100033435,3.253757,1.863869,1.898947,3.079109
100033436,0,0,0,0
100033437,0,0,0,0
100033438,0,0,0,0
100033439,0,0,0,0.215134
100033440,0,0,0,0
100033441,0,0,0,0
100033442,0,0,0,0
100033443,0,0,0,0
100033444,0,0,0,0
100033445,0,0,0,0
100033446,0,0,0,0
100033447,0,0,0,0
100033448,0,0,0,0
100033449,0,0,0,0
100033450,0,0,0,0
100033451,0,0,0,0
100033453,0,0,0,0
100033454,0,0,0,0
100033455,0,0,0,0
100033456,0,0,0,0
100033458,0,0,0,0
100033460,0,0,0,0
100033603,0,0,0,0
100033799,0,0,0,0
100033800,0,0,0,0
100033801,0,0,0,0
100033802,0,0,0,0
100033803,0,0,0,0
100033804,0,0,0,0
100033805,0,0,0,0
100033806,0,0,0,0
100033807,0,0,0,0
100033808,0,0,0,0
100033809,0,0,0,0
100033810,0,0,0,0
100033811,0,0,0,0
100033812,0,0,0,0
100033813,0,0,0,0
100033814,0,0,0,0
100033815,0,0,0,0
100033816,0,0,0,0
100033817,0,0,0,0
100033818,0,0,0,0
100033819,0.010432,0.011229,0.016103,0.00856
100033820,2.631781,0.969849,1.594117,3.95143
100033821,0,0.375621,0.320713,0
100033822,0,0,0,0
100034743,0.11376,0.311662,0.117432,0.099179
100036563,0,0,0,0
100036564,0,0,0,0
100036565,0,0,0,0
100036566,0,0,0,0
100036567,0,0,0,0
100036574,2.93733,4.639344,2.656905,6.466289
100036575,3.084144,1.960654,0.938287,3.033817
100037267,0.074182,0.037151,0.082603,0.090862
100037280,1.401286,0.495106,0.468873,0.817994
100037417,9.200258,10.131925,13.609058,13.350298
100038246,0,0,0,0
100048912,2.151896,0.48378,0.690277,0.93732
100049076,1.648407,3.914281,1.571974,2.869664
100049587,0,0,0,0
100049613,0.012154,0.008212,0,0.000803
100049614,0,0,0,0
100049716,1.820502,0.70687,1.716706,2.088458
100049717,0,0,0,0
100073347,0,0,0,0
100093624,0,0,0.089032,0
100093625,0,0,0.089032,0
100093626,0,0,0,0
100093630,112.19344,49.845721,76.105554,59.335079
100093631,53.456005,77.667694,61.618015,68.931694
100093698,0,0,0,0
100101111,0,0,0,0
100101112,0,0,0,0
100101115,0,0,0,0
100101116,0,0,0,0
100101117,0,0,0,0
100101118,0,0,0,0
100101119,0,0,0,0
100101120,0,0,0,0
100101121,0,0,0,0
100101126,0,0,0,0
100101127,0,0,0,0
100101148,0,0,0,0
100101246,0.022047,0,0,0
100101266,0,0,0,0
100101267,7.951418,20.910556,19.164498,15.78426
100101268,0.009971,0.003989,0,0
