ID,Expression
2878,1129.626381
1789,1.896169
5009,0.0
2180,13.804122
51380,16.162298
259230,35.666065
30061,97.369941
11041,14.887285
1577,0.0
84735,0.0
2581,16.494167
8050,29.215412
6536,13.049908
4126,46.948622
347734,68.980064
55627,15.211294
2745,511.3422
8705,3.315431
7296,359.058476
29925,6.3491300000000015
387893,25.108166
5279,29.679426
2739,160.713791
224,25.740475
250,0.0
64841,32.259388
771,16.140413
7306,0.512573
359,0.0
1491,4.328047
1178,0.0
248,0.0
80055,5.147557
4728,84.793289
229,0.201641
28965,0.0
490,55.68895500000001
766,0.0
4519,10805.28809
4128,6.1654300000000015
79623,0.007499
56894,14.42365
51181,24.662469
79369,0.103664
3177,0.647943
65220,21.438075
51196,0.401598
6319,407.46225
60481,111.140534
10993,0.0
113278,0.0
9334,26.515686
8694,6.507441
55315,3.342829
4720,90.311038
1347,198.541278
8821,11.594107
5825,30.232933000000006
9154,0.0
3628,21.369998
51292,67.141358
79586,60.696823
10050,0.0
4512,29801.01367
514,101.26622
221,38.623512
6517,0.25406100000000004
5161,0.0
3422,159.730297
160428,44.946531
10560,5.484991
226,457.814551
51382,176.791626
7360,180.510611
4353,0.0
5095,13.277755
5740,24.412178
79896,3.189211
55967,167.074723
23382,11.840724
9453,37.625028
123099,0.315549
759,0.0
4907,202.203428
114112,6.896311
1040,0.078608
4535,6295.591797
80146,38.892323
162417,0.658591
5331,9.241155
6560,22.621088
32,3.5386050000000004
5333,10.264272
26873,1.366495
4522,40.687526
4881,0.685445
341947,0.0
54480,23.714335
2531,44.607833
9651,0.07789700000000001
84129,37.151359
146712,1.863154
79611,6.334011
63917,48.611921
9583,27.640102
2628,0.04497
9843,8.697513
54658,0.0
153201,0.0
114971,37.957351
47,60.942246
8869,63.090158
196883,1.168978
175,31.164955
2030,50.283383
5836,47.093916
5232,0.0
10568,0.0
55229,5.846635
293,207.068283
125,263.75099700000004
80308,16.798949
54575,0.0
2720,36.758618
1431,56.200382
387775,0.0
6390,145.01738
374569,0.0
1581,0.055239
2974,0.02636
79695,18.430921
5322,0.0
1109,0.0
1603,417.628265
29796,117.410976
122970,1.84463
56301,0.0
8228,7.3011339999999985
2876,497.998009
79837,17.260948000000006
5296,19.802393
50,37.894154
79071,9.872316
242,0.0
6520,81.8746
4537,7203.361816
476,103.154101
10999,6.607205
7084,24.772609
83697,0.0
2629,98.811253
6610,4.90477
7298,24.734122
284129,7.575541
10449,16.201485
8824,30.268906
4048,113.456116
7363,0.0
9162,7.69756
1120,26.758032
9551,314.1724430000001
644,117.668567
8503,13.189460999999998
535,13.159031
341,3.228532
28231,0.012894999999999998
8654,48.309621
204,47.28657800000001
5142,6.039837
4258,40.596783
6697,20.771145
114805,0.011249
26062,0.0
6916,1.442169
80271,11.305948
515,102.72747
7083,8.67512
3033,36.893699
4846,0.225861
765,0.0
84693,30.445349
132,52.09646
1811,0.0
81849,1.237215
1036,0.403886
280,5.85101
10919,18.730877
2820,17.2785
116369,0.0
9394,4.259417
4905,52.993976
534,21.673548
8703,17.485938
9489,10.24006
8760,22.239388
386757,0.0
57030,0.670298
10870,4.505718
6582,0.12629
9057,9.364086
522,119.667763
29926,26.939925
8908,3.495044
6241,8.770425
2744,135.23901899999998
3419,24.320439
23478,269.676608
2729,18.392411
1588,0.048057
6514,0.0
124975,0.0
953,1.615098
5297,19.50856
64781,24.475393
9517,19.909259
84002,1.081933
59272,0.087052
2271,108.531031
97,10.312876
23556,19.590468
593,11.769938
9058,0.0
8693,4.646977
9789,78.819687
8604,29.302983
